Index,setup,batch_size,max_epochs,learning_rate,memory_size,model,accuracy,training_time
169,standard,256,5,0.01,6000,bi-rnn.py,0.1787,165820.605955
170,standard,256,5,0.01,12000,lenet5.py,0.8977,95461.593075
171,standard,256,5,0.01,12000,bi-rnn.py,0.1885,165613.793341
172,standard,256,5,0.005,6000,lenet5.py,0.8343,97720.714141
173,standard,256,5,0.005,6000,bi-rnn.py,0.1397,166804.871935
174,standard,256,5,0.005,12000,lenet5.py,0.8155,98094.566913
175,standard,256,5,0.005,12000,bi-rnn.py,0.1585,164933.564462
176,standard,256,10,0.01,6000,lenet5.py,0.9273,172084.545608
177,standard,256,10,0.01,6000,bi-rnn.py,0.3129,316449.372622
178,standard,256,10,0.01,12000,lenet5.py,0.9276,170607.482487
179,standard,256,10,0.01,12000,bi-rnn.py,0.3479,316875.730293
180,standard,256,10,0.005,6000,lenet5.py,0.9016,172322.862
181,standard,256,10,0.005,6000,bi-rnn.py,0.1976,314407.362561
182,standard,256,10,0.005,12000,lenet5.py,0.8941,171083.822021
183,standard,256,10,0.005,12000,bi-rnn.py,0.1863,318444.177686
184,standard,256,20,0.01,6000,lenet5.py,0.9523,306571.784668
185,standard,256,20,0.01,6000,bi-rnn.py,0.5057,590872.259919
186,standard,256,20,0.01,12000,lenet5.py,0.9424,304370.375672
187,standard,256,20,0.01,12000,bi-rnn.py,0.5131,601050.805551
188,standard,256,20,0.005,6000,lenet5.py,0.9222,305524.8433
189,standard,256,20,0.005,6000,bi-rnn.py,0.2334,601899.379442
190,standard,256,20,0.005,12000,lenet5.py,0.914,306187.84805
191,standard,256,20,0.005,12000,bi-rnn.py,0.3139,600615.811859
192,standard,128,5,0.01,6000,lenet5.py,0.9297,162035.635082
193,standard,128,5,0.01,6000,bi-rnn.py,0.289,240811.111984
194,standard,128,5,0.01,12000,lenet5.py,0.9255,158422.281629
195,standard,128,5,0.01,12000,bi-rnn.py,0.3749,247770.729038
196,standard,128,5,0.005,6000,lenet5.py,0.8935,157239.804255
197,standard,128,5,0.005,6000,bi-rnn.py,0.1951,247399.285075
198,standard,128,5,0.005,12000,lenet5.py,0.8923,158168.082086
199,standard,128,5,0.005,12000,bi-rnn.py,0.1841,240641.999704
200,standard,128,10,0.01,6000,lenet5.py,0.9424,285422.278534
201,standard,128,10,0.01,6000,bi-rnn.py,0.4977,471235.273473
202,standard,128,10,0.01,12000,lenet5.py,0.9485,302009.87499
203,standard,128,10,0.01,12000,bi-rnn.py,0.4793,469413.437387
204,standard,128,10,0.005,6000,lenet5.py,0.9135,294919.976023
205,standard,128,10,0.005,6000,bi-rnn.py,0.2949,458732.679746
206,standard,128,10,0.005,12000,lenet5.py,0.9172,287549.910107
207,standard,128,10,0.005,12000,bi-rnn.py,0.2944,466339.749574
208,standard,128,20,0.01,6000,lenet5.py,0.9627,533527.465505
209,standard,128,20,0.01,6000,bi-rnn.py,0.7052,896026.57553
210,standard,128,20,0.01,12000,lenet5.py,0.9597,528126.253953
211,standard,128,20,0.01,12000,bi-rnn.py,0.7032,890498.958292
212,standard,128,20,0.005,6000,lenet5.py,0.9275,516528.718911
213,standard,128,20,0.005,6000,bi-rnn.py,0.3926,874793.53909
214,standard,128,20,0.005,12000,lenet5.py,0.929,527241.513962
215,standard,128,20,0.005,12000,bi-rnn.py,0.4783,873041.363923
216,standard,256,5,0.01,6000,lenet5.py,0.8888,94278.479066
217,standard,256,5,0.01,6000,bi-rnn.py,0.2188,165898.726658
218,standard,256,5,0.01,12000,lenet5.py,0.8934,94241.162181
219,standard,256,5,0.01,12000,bi-rnn.py,0.2282,166555.120645
220,standard,256,5,0.005,6000,lenet5.py,0.8005,95527.858227
221,standard,256,5,0.005,6000,bi-rnn.py,0.1393,166985.983841
222,standard,256,5,0.005,12000,lenet5.py,0.8143,96475.784209
223,standard,256,5,0.005,12000,bi-rnn.py,0.1287,169197.213131
224,standard,256,10,0.01,6000,lenet5.py,0.9312,171348.150526
225,standard,256,10,0.01,6000,bi-rnn.py,0.344,318632.184718
226,standard,256,10,0.01,12000,lenet5.py,0.9171,169392.168506
227,standard,256,10,0.01,12000,bi-rnn.py,0.3718,317282.438803
228,standard,256,10,0.005,6000,lenet5.py,0.8892,169272.883156
229,standard,256,10,0.005,6000,bi-rnn.py,0.1819,318562.075642
230,standard,256,10,0.005,12000,lenet5.py,0.887,170260.000782
231,standard,256,10,0.005,12000,bi-rnn.py,0.1813,318003.376206
232,standard,256,20,0.01,6000,lenet5.py,0.9484,305083.315448
233,standard,256,20,0.01,6000,bi-rnn.py,0.495,590611.89449
234,standard,256,20,0.01,12000,lenet5.py,0.95,302422.645726
235,standard,256,20,0.01,12000,bi-rnn.py,0.4596,607293.760268
236,standard,256,20,0.005,6000,lenet5.py,0.9082,305034.429311
237,standard,256,20,0.005,6000,bi-rnn.py,0.3119,604957.285893
238,standard,256,20,0.005,12000,lenet5.py,0.9158,306380.076253
239,standard,256,20,0.005,12000,bi-rnn.py,0.2452,618126.694887
240,hybrid,128,5,0.01,6000,lenet5.py,0.9209,146623.08658
241,hybrid,128,5,0.01,6000,bi-rnn.py,0.3592,223465.332282
242,hybrid,128,5,0.01,12000,lenet5.py,0.9359,143873.974414
243,hybrid,128,5,0.01,12000,bi-rnn.py,0.3273,221339.63728
244,hybrid,128,5,0.005,6000,lenet5.py,0.8817,141405.119523
245,hybrid,128,5,0.005,6000,bi-rnn.py,0.19,225359.404297
246,hybrid,128,5,0.005,12000,lenet5.py,0.8769,142969.342314
247,hybrid,128,5,0.005,12000,bi-rnn.py,0.1804,225786.255591
248,hybrid,128,10,0.01,6000,lenet5.py,0.9426,260561.333455
249,hybrid,128,10,0.01,6000,bi-rnn.py,0.485,429470.622691
250,hybrid,128,10,0.01,12000,lenet5.py,0.9418,259430.015769
251,hybrid,128,10,0.01,12000,bi-rnn.py,0.5282,423709.032853
252,hybrid,128,10,0.005,6000,lenet5.py,0.9181,257921.367128
